"budget_year","project_id","project_name","methodid","methodname","orgname","goods_name","ministryname","departmentname","deptname","dept_sub_name","moiname","stepgrpid","project_money","issuedate","announce_date","projectmoneyrange","day_standand","day_real","result"
"2563","58076017600","ประกวดราคาเช่าเช่ารถยนต์มาใช้ในราชการ  จำนวน 1 คัน ระยะเวลา 60 เดือน โดยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงสาธารณสุข","กรมการแพทย์","สถาบันมะเร็งแห่งชาติ","สถาบันมะเร็งแห่งชาติ","กรุงเทพมหานคร","ก่อหนี้","1485000","2015-07-06","2015-08-18","เกิน 5 แสนบาท - 5 ล้านบาท","33","30","ไม่ล่าช้า"
"2563","58085263180","ประกวดราคาเช่ารถยนต์มาใช้ในราชการ ด้วยวิธีการทางอิเล็กทรอนิกส์","06","ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม",,"มหาวิทยาลัยนครพนม","มหาวิทยาลัยนครพนม","นครพนม","ก่อหนี้","5940000","2015-09-14","2015-09-30","เกิน 5 ล้านบาท - 10 ล้านบาท","0","13","ล่าช้า"
"2563","59066150956","ประกวดราคาเช่ารถยนต์ราชการส่วนกลาง จำนวน ๑๐ คัน (78.11.18.08 ) โดยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงอุตสาหกรรม","สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม","สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม","สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม กรุงเทพฯ","กรุงเทพมหานคร","ก่อหนี้","9900450","2016-07-06","2016-08-08","เกิน 5 ล้านบาท - 10 ล้านบาท","39","22","ไม่ล่าช้า"
"2563","59096006187","ประกวดราคาเช่าเครื่องคอมพิวเตอร์ (43.21.15.00 ) โดยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่าอื่นๆ","กระทรวงศึกษาธิการ","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","โรงเรียนมหาวชิราวุธ จังหวัดสงขลา","โรงเรียนมหาวชิราวุธ จังหวัดสงขลา","สงขลา","ก่อหนี้","4004640","2016-09-01","2016-09-16","เกิน 5 แสนบาท - 5 ล้านบาท","33","12","ไม่ล่าช้า"
"2563","59106073280","ประกวดราคาจ้างก่อสร้างอาคารผู้ป่วยจิตเวชชาย ๙ ชั้น พื้นที่ใช้สอยประมาณ ๘,๕๕๗ ตารางเมตร โรงพยาบาลศรีธัญญา ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี ๑ หลัง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงสาธารณสุข","กรมสุขภาพจิต","โรงพยาบาลศรีธัญญา","โรงพยาบาลศรีธัญญา","นนทบุรี","ก่อหนี้","210163900","2016-10-28","2017-02-07","มากกว่า 100 ล้านบาท","62","69","ล่าช้า"
"2563","59106095263","ประกวดราคาจ้างอาคารเรียนและหอพักนักศึกษาเป็นอาคาร คสล. 6 ชั้น พื้นที่ใช้สอยประมาณ 5,370 ตารางเมตรพร้อมอุปกรณ์ประกอบอาคาร วิทยาลัยพยาบาลบรมราชชนนี เชียงใหม่ ตำบลดอนแก้ว อำเภอแม่ริม จังหวัดเชียงใหม่ 1 หลัง ครั้งที่ 2 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidd","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","สถาบันพระบรมราชชนก","วิทยาลัยพยาบาลบรมราชชนนี เชียงใหม่","นนทบุรี","ก่อหนี้","83817000","2016-10-27","2017-03-17","เกิน 50 ล้านบาท - 100 ล้านบาท","62","97","ล่าช้า"
"2563","59106128764","ประกวดราคาจ้างอาคารพักคนไข้ 298 เตียง เป็นอาคาร คสล. 8 ชั้น พื้นที่ใช้สอยประมาณ 11383 ตารางเมตร รพ.พัทลุง ตำบลคูหาสวรรค์ อำเภอเมืองพัทลุง จังหวัดพัทลุง แบบเลขที่ 9448(81.10.15.13 ) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลพัทลุง","โรงพยาบาลพัทลุง","พัทลุง","ก่อหนี้","301449100","2016-11-23","2017-03-29","มากกว่า 100 ล้านบาท","62","86","ล่าช้า"
"2563","59116088808","ประกวดราคาซื้อวัสดุวิทยาศาสตร์การแพทย์ จำนวน 3 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลนพรัตนราชธานี","โรงพยาบาลนพรัตนราชธานี","กรุงเทพมหานคร","ก่อหนี้","3692000","2016-12-14","2017-04-24","เกิน 5 แสนบาท - 5 ล้านบาท","33","88","ล่าช้า"
"2563","59116154524","ประกวดราคาเช่ารถยนต์โดยสาร ขนาดไม่น้อยกว่า 12 ที่นั่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงสาธารณสุข","สำนักงานคณะกรรมการอาหารและยา","สำนักงานคณะกรรมการอาหารและยา","สำนักงานคณะกรรมการอาหารและยา กรุงเทพฯ","นนทบุรี","ก่อหนี้","4232250","2016-11-23","2016-12-15","เกิน 5 แสนบาท - 5 ล้านบาท","33","15","ไม่ล่าช้า"
"2563","59126063616","ประกวดราคาซื้อวัสดุวิทยาศาสตร์การแพทย์ จำนวน 2 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลนพรัตนราชธานี","โรงพยาบาลนพรัตนราชธานี","กรุงเทพมหานคร","ก่อหนี้","64512000","2017-03-08","2017-08-22","เกิน 50 ล้านบาท - 100 ล้านบาท","62","112","ล่าช้า"
